Ano;Region;CumulativeFoundedStartups;CumulativeFoundedStartupsY1;CumulativeClosedStartups;CumulativeClosedStartupsY1;QuantityStartups;GrowingTaxStartups;CumulativeTotalFundingAmountUSD;CumulativeTotalFundingAmountUSDY1;GrowingTaxUSD
2006;Centro-oeste;6;5;0;0;6;0.2000;0.00;0.00;0.000000
2006;Nordeste;6;3;0;0;6;1.0000;0.00;0.00;0.000000
2006;Norte;1;1;0;0;1;0.0000;0.00;0.00;0.000000
2006;Sudeste;133;66;0;0;133;1.0152;21983497.00;21983497.00;0.000000
2006;Sul;33;23;0;0;33;0.4348;6417912.00;6417912.00;0.000000
2007;Centro-oeste;9;6;0;0;9;0.5000;0.00;0.00;0.000000
2007;Nordeste;12;6;0;0;12;1.0000;0.00;0.00;0.000000
2007;Norte;2;1;0;0;2;1.0000;0.00;0.00;0.000000
2007;Sudeste;211;133;0;0;211;0.5865;228545997.00;228545997.00;0.000000
2007;Sul;55;33;0;0;55;0.6667;12557357.00;12557357.00;0.000000
2008;Centro-oeste;12;9;0;0;12;0.3333;100000.00;100000.00;0.000000
2008;Nordeste;13;12;0;0;13;0.0833;0.00;0.00;0.000000
2008;Norte;3;2;0;0;3;0.5000;0.00;0.00;0.000000
2008;Sudeste;324;211;0;0;324;0.5355;1798504736.00;1798504736.00;0.000000
2008;Sul;91;55;0;0;91;0.6545;15485086.00;15485086.00;0.000000
2009;Centro-oeste;16;12;0;0;16;0.3333;100000.00;100000.00;0.000000
2009;Nordeste;21;13;0;0;21;0.6154;114835.00;114835.00;0.000000
2009;Norte;8;3;0;0;8;1.6667;0.00;0.00;0.000000
2009;Sudeste;453;324;1;0;452;0.3951;2011039587.00;2011039587.00;0.000000
2009;Sul;149;91;1;0;148;0.6264;55214202.00;55214202.00;0.000000
2010;Centro-oeste;21;16;0;0;21;0.3125;100000.00;100000.00;0.000000
2010;Nordeste;32;21;0;0;32;0.5238;114835.00;114835.00;0.000000
2010;Norte;9;8;0;0;9;0.1250;0.00;0.00;0.000000
2010;Sudeste;664;453;1;1;663;0.4668;2538156152.00;2538156152.00;0.000000
2010;Sul;213;149;1;1;212;0.4324;60380158.00;60380158.00;0.000000
2011;Centro-oeste;32;21;0;0;32;0.5238;125000.00;125000.00;0.000000
2011;Nordeste;48;32;0;0;48;0.5000;154835.00;154835.00;0.000000
2011;Norte;13;9;0;0;13;0.4444;0.00;0.00;0.000000
2011;Sudeste;976;664;3;1;973;0.4676;3833531627.00;3833531627.00;0.000000
2011;Sul;311;213;1;1;310;0.4623;144381569.00;144381569.00;0.000000
2012;Centro-oeste;51;32;0;0;51;0.5938;125000.00;125000.00;0.000000
2012;Nordeste;65;48;0;0;65;0.3542;210526.00;210526.00;0.000000
2012;Norte;19;13;0;0;19;0.4615;0.00;0.00;0.000000
2012;Sudeste;1378;976;7;3;1371;0.4090;4999058564.00;4999058564.00;0.000000
2012;Sul;445;311;1;1;444;0.4323;182463573.00;182463573.00;0.000000
2013;Centro-oeste;60;51;0;0;60;0.1765;140231.00;140231.00;0.000000
2013;Nordeste;73;65;0;0;73;0.1231;874448.00;874448.00;0.000000
2013;Norte;26;19;0;0;26;0.3684;0.00;0.00;0.000000
2013;Sudeste;1746;1378;12;7;1734;0.2648;6483281340.00;6483281340.00;0.000000
2013;Sul;578;445;4;1;574;0.2928;189080996.00;189080996.00;0.000000
2014;Centro-oeste;71;60;0;0;71;0.1833;140231.00;140231.00;0.000000
2014;Nordeste;92;73;0;0;92;0.2603;1924448.00;1924448.00;0.000000
2014;Norte;38;26;0;0;38;0.4615;12796.00;12796.00;0.000000
2014;Sudeste;2160;1746;17;12;2143;0.2359;6867751212.00;6867751212.00;0.000000
2014;Sul;724;578;5;4;719;0.2526;211945783.00;211945783.00;0.000000
2015;Centro-oeste;87;71;0;0;87;0.2254;1395607.00;1395607.00;0.000000
2015;Nordeste;117;92;0;0;117;0.2717;2191156.00;2191156.00;0.000000
2015;Norte;49;38;0;0;49;0.2895;12796.00;12796.00;0.000000
2015;Sudeste;2665;2160;20;17;2645;0.2343;6938808743.00;6938808743.00;0.000000
2015;Sul;907;724;6;5;901;0.2531;235754969.00;235754969.00;0.000000
2016;Centro-oeste;106;87;0;0;106;0.2184;7345607.00;7345607.00;0.000000
2016;Nordeste;139;117;0;0;139;0.1880;2234981.00;2234981.00;0.000000
2016;Norte;61;49;0;0;61;0.2449;12796.00;12796.00;0.000000
2016;Sudeste;3095;2665;28;20;3067;0.1595;7049774316.00;7049774316.00;0.000000
2016;Sul;1079;907;7;6;1072;0.1898;237499177.00;237499177.00;0.000000
2017;Centro-oeste;120;106;0;0;120;0.1321;7345607.00;7345607.00;0.000000
2017;Nordeste;172;139;0;0;172;0.2374;2264222.00;2264222.00;0.000000
2017;Norte;74;61;0;0;74;0.2131;12796.00;12796.00;0.000000
2017;Sudeste;3491;3095;31;28;3460;0.1281;7155405517.00;7155405517.00;0.000000
2017;Sul;1270;1079;9;7;1261;0.1763;239945650.00;239945650.00;0.000000
2018;Centro-oeste;142;120;1;0;141;0.1750;7345607.00;7345607.00;0.000000
2018;Nordeste;194;172;0;0;194;0.1279;2264222.00;2264222.00;0.000000
2018;Norte;82;74;0;0;82;0.1081;12796.00;12796.00;0.000000
2018;Sudeste;3786;3491;50;31;3736;0.0798;7249031732.00;7249031732.00;0.000000
2018;Sul;1366;1270;15;9;1351;0.0714;240198455.00;240198455.00;0.000000
2019;Centro-oeste;142;142;1;1;141;0.0000;7345607.00;7345607.00;0.000000
2019;Nordeste;194;194;0;0;194;0.0000;2264222.00;2264222.00;0.000000
2019;Norte;82;82;0;0;82;0.0000;12796.00;12796.00;0.000000
2019;Sudeste;3798;3786;51;50;3747;0.0029;7250739113.00;7250739113.00;0.000000
2019;Sul;1370;1366;15;15;1355;0.0030;240224707.00;240224707.00;0.000000
