Unidade Federativa;Ano;IDH;E;R;L
Distrito Federal;2017;0,85;0,804;0,859;0,89
São Paulo;2017;0,826;0,828;0,796;0,854
Santa Catarina;2017;0,808;0,779;0,783;0,866
Rio de Janeiro;2017;0,796;0,763;0,769;0,858
Paraná;2017;0,792;0,764;0,771;0,843
Rio Grande do Sul;2017;0,787;0,729;0,787;0,849
Minas Gerais;2017;0,787;0,753;0,741;0,875
Mato Grosso;2017;0,774;0,758;0,742;0,825
Espírito Santo;2017;0,772;0,732;0,74;0,85
Goiás;2017;0,769;0,74;0,747;0,822
Mato Grosso do Sul;2017;0,766;0,71;0,748;0,847
Roraima;2017;0,752;0,771;0,706;0,781
Tocantins;2017;0,743;0,727;0,696;0,811
Amapá;2017;0,74;0,71;0,695;0,82
Ceará;2017;0,735;0,717;0,676;0,818
Amazonas;2017;0,733;0,735;0,682;0,786
Rio Grande do Norte;2017;0,731;0,677;0,68;0,849
Pernambuco;2017;0,727;0,685;0,682;0,821
Rondônia;2017;0,725;0,703;0,699;0,776
Paraíba;2017;0,722;0,671;0,694;0,809
Acre;2017;0,719;0,682;0,664;0,821
Bahia;2017;0,714;0,654;0,685;0,812
Sergipe;2017;0,702;0,64;0,677;0,799
Pará;2017;0,698;0,661;0,654;0,788
Piauí;2017;0,697;0,666;0,66;0,771
Maranhão;2017;0,687;0,682;0,623;0,764
Alagoas;2017;0,683;0,636;0,639;0,783
Distrito Federal;2010;0,824;0,742;0,863;0,873
São Paulo;2010;0,783;0,719;0,789;0,845
Santa Catarina;2010;0,774;0,697;0,773;0,86
Rio de Janeiro;2010;0,761;0,675;0,782;0,835
Paraná;2010;0,749;0,668;0,757;0,83
Rio Grande do Sul;2010;0,746;0,642;0,769;0,84
Minas Gerais;2010;0,731;0,638;0,73;0,838
Mato Grosso;2010;0,725;0,635;0,732;0,821
Espírito Santo;2010;0,74;0,653;0,743;0,835
Goiás;2010;0,735;0,646;0,742;0,827
Mato Grosso do Sul;2010;0,729;0,629;0,74;0,833
Roraima;2010;0,707;0,628;0,695;0,809
Tocantins;2010;0,699;0,624;0,69;0,793
Amapá;2010;0,708;0,629;0,694;0,813
Ceará;2010;0,682;0,615;0,651;0,793
Amazonas;2010;0,674;0,561;0,677;0,805
Rio Grande do Norte;2010;0,684;0,597;0,678;0,792
Pernambuco;2010;0,673;0,574;0,673;0,789
Rondônia;2010;0,69;0,577;0,712;0,8
Paraíba;2010;0,658;0,555;0,656;0,783
Acre;2010;0,663;0,559;0,671;0,777
Bahia;2010;0,66;0,555;0,663;0,783
Sergipe;2010;0,665;0,56;0,672;0,781
Pará;2010;0,646;0,528;0,646;0,789
Piauí;2010;0,646;0,547;0,635;0,777
Maranhão;2010;0,639;0,562;0,612;0,757
Alagoas;2010;0,631;0,52;0,641;0,755
Distrito Federal;2000;0,725;0,582;0,805;0,814
São Paulo;2000;0,702;0,581;0,756;0,786
Santa Catarina;2000;0,674;0,526;0,717;0,812
Rio de Janeiro;2000;0,664;0,53;0,745;0,74
Paraná;2000;0,65;0,522;0,704;0,747
Rio Grande do Sul;2000;0,664;0,505;0,72;0,804
Minas Gerais;2000;0,624;0,47;0,68;0,759
Mato Grosso;2000;0,601;0,426;0,689;0,74
Espírito Santo;2000;0,64;0,491;0,687;0,777
Goiás;2000;0,615;0,439;0,686;0,773
Mato Grosso do Sul;2000;0,613;0,445;0,687;0,752
Roraima;2000;0,598;0,457;0,652;0,717
Tocantins;2000;0,525;0,348;0,605;0,688
Amapá;2000;0,577;0,424;0,638;0,711
Ceará;2000;0,541;0,377;0,588;0,713
Amazonas;2000;0,515;0,324;0,608;0,692
Rio Grande do Norte;2000;0,552;0,396;0,608;0,7
Pernambuco;2000;0,544;0,372;0,615;0,705
Rondônia;2000;0,537;0,345;0,654;0,688
Paraíba;2000;0,506;0,331;0,582;0,672
Acre;2000;0,517;0,325;0,612;0,694
Bahia;2000;0,512;0,332;0,594;0,68
Sergipe;2000;0,518;0,343;0,596;0,678
Pará;2000;0,518;0,319;0,601;0,725
Piauí;2000;0,484;0,301;0,556;0,676
Maranhão;2000;0,476;0,312;0,531;0,649
Alagoas;2000;0,471;0,282;0,574;0,647
Distrito Federal;1991;0,616;0,419;0,762;0,731
São Paulo;1991;0,578;0,363;0,729;0,73
Santa Catarina;1991;0,543;0,329;0,648;0,753
Rio de Janeiro;1991;0,573;0,392;0,696;0,69
Paraná;1991;0,507;0,298;0,644;0,679
Rio Grande do Sul;1991;0,542;0,328;0,667;0,729
Minas Gerais;1991;0,478;0,257;0,618;0,689
Mato Grosso;1991;0,449;0,221;0,627;0,654
Espírito Santo;1991;0,505;0,304;0,619;0,686
Goiás;1991;0,487;0,273;0,633;0,668
Mato Grosso do Sul;1991;0,488;0,259;0,641;0,699
Roraima;1991;0,459;0,24;0,643;0,628
Tocantins;1991;0,369;0,155;0,549;0,589
Amapá;1991;0,472;0,254;0,62;0,668
Ceará;1991;0,405;0,204;0,532;0,613
Amazonas;1991;0,43;0,204;0,605;0,645
Rio Grande do Norte;1991;0,428;0,242;0,547;0,591
Pernambuco;1991;0,44;0,232;0,569;0,617
Rondônia;1991;0,407;0,181;0,585;0,635
Paraíba;1991;0,382;0,191;0,515;0,565
Acre;1991;0,402;0,176;0,574;0,645
Bahia;1991;0,386;0,182;0,543;0,582
Sergipe;1991;0,413;0,211;0,552;0,581
Pará;1991;0,413;0,194;0,567;0,64
Piauí;1991;0,362;0,164;0,488;0,595
Maranhão;1991;0,357;0,173;0,478;0,551
Alagoas;1991;0,37;0,174;0,527;0,552
